quien,version,threads,schedule,repeticion,segundos
Adriana,paralelo,4,dynamic,256,9,2.7857
Adriana,paralelo,4,dynamic,256,10,2.8629
Adriana,paralelo,4,dynamic,256,11,2.8639
Adriana,paralelo,4,dynamic,256,12,2.8185
Adriana,paralelo,6,dynamic,256,1,2.8761
Adriana,paralelo,6,dynamic,256,2,2.6255
Adriana,paralelo,6,dynamic,256,3,2.6886
Adriana,paralelo,6,dynamic,256,4,2.6290
Adriana,paralelo,6,dynamic,256,5,2.6000
Adriana,paralelo,6,dynamic,256,6,2.5788
Adriana,paralelo,6,dynamic,256,7,2.6155
Adriana,paralelo,6,dynamic,256,8,2.5622
Adriana,paralelo,6,dynamic,256,9,2.6921
Adriana,paralelo,6,dynamic,256,10,2.5601
Adriana,paralelo,6,dynamic,256,11,2.6535
Adriana,paralelo,6,dynamic,256,12,2.5948
Adriana,paralelo,8,dynamic,256,1,2.5599
Adriana,paralelo,8,dynamic,256,2,2.4507
Adriana,paralelo,8,dynamic,256,3,2.5783
Adriana,paralelo,8,dynamic,256,4,2.4660
Adriana,paralelo,8,dynamic,256,5,2.5163
Adriana,paralelo,8,dynamic,256,6,2.4763
Adriana,paralelo,8,dynamic,256,7,2.4833
Adriana,paralelo,8,dynamic,256,8,2.4961
Adriana,paralelo,8,dynamic,256,9,2.5235
Adriana,paralelo,8,dynamic,256,10,2.4845
Adriana,paralelo,8,dynamic,256,11,2.5107
Adriana,paralelo,8,dynamic,256,12,2.5590
