quien,version,threads,schedule,repeticion,segundos
Bryan,paralelo,4,dynamic,64,9,2.9353
Bryan,paralelo,4,dynamic,64,10,3.0662
Bryan,paralelo,4,dynamic,64,11,2.9102
Bryan,paralelo,4,dynamic,64,12,2.9657
Bryan,paralelo,6,dynamic,64,1,3.1117
Bryan,paralelo,6,dynamic,64,2,3.0138
Bryan,paralelo,6,dynamic,64,3,3.1145
Bryan,paralelo,6,dynamic,64,4,3.2260
Bryan,paralelo,6,dynamic,64,5,2.9360
Bryan,paralelo,6,dynamic,64,6,2.8961
Bryan,paralelo,6,dynamic,64,7,3.0109
Bryan,paralelo,6,dynamic,64,8,2.8866
Bryan,paralelo,6,dynamic,64,9,2.9866
Bryan,paralelo,6,dynamic,64,10,3.1189
Bryan,paralelo,6,dynamic,64,11,2.9859
Bryan,paralelo,6,dynamic,64,12,2.9588
Bryan,paralelo,8,dynamic,64,1,2.9280
Bryan,paralelo,8,dynamic,64,2,3.1004
Bryan,paralelo,8,dynamic,64,3,2.8739
Bryan,paralelo,8,dynamic,64,4,3.0118
Bryan,paralelo,8,dynamic,64,5,3.0169
Bryan,paralelo,8,dynamic,64,6,2.9575
Bryan,paralelo,8,dynamic,64,7,3.0974
Bryan,paralelo,8,dynamic,64,8,3.0231
Bryan,paralelo,8,dynamic,64,9,3.1485
Bryan,paralelo,8,dynamic,64,10,2.8990
Bryan,paralelo,8,dynamic,64,11,3.1086
Bryan,paralelo,8,dynamic,64,12,2.9454
